issuer_ticker,as_of_date,iva_company_rating,environmental_pillar_score,climate_change_theme_score,carbon_emissions_score,energy_efficiency_score,prod_carb_ftprnt_score,ins_climate_chg_risk_score
CCK,2025-09-01,AA,8.70,0.10,0.10,,,
CW,2025-09-01,A,0.02,7.70,7.70,,,
DAN,2025-09-01,B,0.04,0.10,0.10,,,
DK,2025-09-01,A,3.50,4.30,4.30,,,
DOV,2025-09-01,AA,4.60,0.10,0.10,,,
DCO,2025-09-01,A,2.20,8.70,8.70,,,
ETN,2025-09-01,A,6.30,0.10,0.10,,,
UUUU,2025-09-01,BBB,1.70,1.90,1.90,,,
ENTG,2025-09-01,BBB,5.10,7.60,7.60,,,
ARR,2025-09-01,B,0.08,0.08,0.08,,,
ELS,2025-09-01,BB,4.70,7.30,7.30,,,
TDG,2025-09-01,BB,0.02,0.10,0.10,,,
ET,2025-09-01,CCC,3.40,6.70,6.70,,,
EZPW,2025-09-01,BB,0.08,0.08,0.08,,,
FCF,2025-09-01,BBB,0.60,0.60,6.70,,,
WSBC,2025-09-01,BB,1.50,1.50,6.70,,,
CIGI,2025-09-01,A,5.90,0.10,0.10,,,
FLR,2025-09-01,BBB,3.50,9.70,9.70,,,
FORM,2025-09-01,BB,3.30,8.40,8.40,,,
FELE,2025-09-01,AA,5.50,8.60,8.60,,,
ROG,2025-09-01,A,6.50,0.10,0.10,,,
GPN,2025-09-01,BBB,0.10,0.10,0.10,,,
GVA,2025-09-01,AA,4.50,9.70,9.70,,,
HNI,2025-09-01,AA,6.20,0.10,0.10,,,
NVRI,2025-09-01,BB,3.10,0.06,0.06,,,
HTO,2025-09-01,A,0.10,0.10,0.10,,,
HOMB,2025-09-01,BB,0.20,0.20,0.08,,,
IDT,2025-09-01,B,6.50,6.50,6.50,,,
IMAX,2025-09-01,AA,6.70,6.70,6.70,,,
AEP,2025-09-01,BBB,0.06,0.09,0.09,,,
IBKR,2025-09-01,BB,0.09,0.09,0.09,,,
KKR,2025-09-01,BBB,0.07,0.07,0.07,,,
MC,2025-09-01,A,7.90,0.10,0.10,,0.10,
SR,2025-09-01,AA,9.10,9.10,9.10,,,
MZTI,2025-09-01,CCC,0.90,0.80,5.50,,0.80,
JEF,2025-09-01,BBB,0.03,0.03,0.09,,,
MSM,2025-09-01,BBB,3.70,0.07,0.07,,,
MSEX,2025-09-01,BB,4.80,6.60,6.60,,,
MOG.A,2025-09-01,A,2.70,9.10,9.10,,,
MOH,2025-09-01,AA,6.30,8.70,8.70,,,
MSI,2025-09-01,AA,2.90,0.10,0.10,,,
NHC,2025-09-01,BB,5.20,5.20,5.20,,,
NEO,2025-09-01,AA,7.10,7.10,7.10,,,
FLG,2025-09-01,BB,0.30,0.30,0.10,,,
NTRS,2025-09-01,A,0.10,0.10,0.10,,,
NOC,2025-09-01,A,2.20,0.10,0.10,,,
NG,2025-09-01,A,2.70,2.10,2.10,,,
OGE,2025-09-01,BBB,5.10,4.30,4.30,,,
ODFL,2025-09-01,A,5.40,5.40,5.40,,,
OSK,2025-09-01,AAA,5.40,0.10,0.10,,,
PKG,2025-09-01,BB,4.10,7.40,7.40,,,
PRK,2025-09-01,BB,2.20,2.20,6.70,,,
PATK,2025-09-01,BBB,3.80,4.70,4.70,,,
PAY,2025-09-01,BBB,0.10,0.10,0.10,,,
PPC,2025-09-01,BBB,4.20,6.30,6.30,,,
PEP,2025-09-01,A,4.40,8.80,0.10,,8.80,
PSN,2025-09-01,A,4.30,8.80,8.80,,,
PCOR,2025-09-01,B,4.20,6.50,6.50,,,
KWR,2025-09-01,BB,3.70,6.60,6.60,,,
RYN,2025-09-01,A,5.30,7.80,7.80,,,
RTX,2025-09-01,BBB,4.30,0.10,0.10,,,
RES,2025-09-01,B,3.70,0.08,0.08,,,
ROP,2025-09-01,A,5.90,0.09,0.09,,,
SAFT,2025-09-01,CCC,1.70,1.70,6.70,,,1.70
SANM,2025-09-01,BBB,4.70,0.10,0.10,,,
SRE,2025-09-01,AA,6.70,8.10,8.10,,,
SWX,2025-09-01,AA,8.80,8.80,8.80,,,
SBUX,2025-09-01,A,5.20,0.10,0.10,,,
TRN,2025-09-01,AA,8.40,7.40,7.40,,,
TJX,2025-09-01,A,3.20,0.05,0.10,,0.05,
TKO,2025-09-01,BBB,2.60,3.40,3.40,,,
TDS,2025-09-01,BBB,8.50,8.50,8.50,,,
THC,2025-09-01,BB,6.70,6.70,6.70,,,
TEVA,2025-09-01,BBB,4.40,0.10,0.10,,,
TDW,2025-09-01,A,7.10,7.20,7.20,,,
TDG,2025-09-01,BB,0.02,0.10,0.10,,,
HROW,2025-09-01,BB,2.10,6.40,6.40,,,
TCBK,2025-09-01,BB,0.00,0.00,6.70,,,
UAA,2025-09-01,A,4.70,6.60,0.10,,6.60,
RTX,2025-09-01,BBB,4.30,0.10,0.10,,,
URBN,2025-09-01,A,3.40,3.50,7.80,,3.50,
WMG,2025-09-01,A,0.10,0.10,0.10,,,
WAFD,2025-09-01,BB,1.60,1.60,0.08,,,
WDC,2025-09-01,AAA,4.70,0.10,0.10,,,
WLK,2025-09-01,BB,3.50,5.50,5.50,,,
ZBH,2025-09-01,AA,9.40,9.40,9.40,,,
PLUS,2025-09-01,A,3.80,7.70,7.70,,,
HI,2025-09-01,AA,0.04,8.50,8.50,,,
AWK,2025-09-01,A,5.30,9.10,9.10,,,
ABG,2025-09-01,BBB,0.06,8.90,8.90,,,
BX,2025-09-01,B,7.30,7.30,0.09,,,
IEP,2025-09-01,CCC,3.50,5.80,5.80,,,
PD,2025-09-01,BB,3.30,0.04,0.04,,,
EVRG,2025-09-01,BBB,3.60,3.80,3.80,,,
VZ,2025-09-01,A,0.10,0.10,0.10,,,
XEL,2025-09-01,AA,6.80,5.80,5.80,,,
XEL,2025-09-01,AA,7.30,7.50,7.50,,,
WMB,2025-09-01,AA,4.90,4.40,4.40,,,
FE,2025-09-01,A,6.10,6.90,6.90,,,
T,2025-09-01,BBB,0.10,0.10,0.10,,,
PNW,2025-09-01,A,6.30,5.60,0.06,,,
CAT,2025-09-01,AA,4.90,0.10,0.10,,,
HRB,2025-09-01,A,8.90,8.90,8.90,,,
CTRA,2025-09-01,BBB,3.80,4.50,4.50,,,
SPGI,2025-09-01,AAA,0.10,0.10,0.10,,,
MLM,2025-09-01,AA,5.60,7.20,7.20,,,
WGO,2025-09-01,AA,6.50,9.60,0.10,,9.60,
CPRX,2025-09-01,A,2.30,7.70,7.70,,,
CSGS,2025-09-01,AA,0.10,0.10,0.10,,,
L,2025-09-01,BB,5.40,5.40,0.08,,,5.40
CTBI,2025-09-01,BBB,2.10,2.10,6.70,,,
CAG,2025-09-01,AA,4.30,5.60,0.09,,5.60,
ASGN,2025-09-01,A,5.10,0.10,0.10,,,
AEIS,2025-09-01,AA,2.90,0.10,0.10,,,
WES,2025-09-01,AA,8.10,0.10,0.10,,0.10,
KSS,2025-09-01,AA,6.20,9.90,0.10,,9.90,
RGLD,2025-09-01,AA,2.40,0.06,0.06,,,
SCHW,2025-09-01,BBB,4.50,4.50,0.09,,,
PEGA,2025-09-01,AA,5.80,0.10,0.10,,,
TROW,2025-09-01,AA,0.10,0.10,0.10,,,
WERN,2025-09-01,AA,8.10,8.10,8.10,,,
UBSI,2025-09-01,A,1.50,1.50,0.08,,,
PNC,2025-09-01,AA,5.90,5.90,0.10,,,
XOM,2025-09-01,BB,4.30,5.90,5.90,,,
DLB,2025-09-01,AA,8.80,8.80,8.80,,,
WM,2025-09-01,BBB,4.10,6.60,6.60,,,
CLX,2025-09-01,AAA,6.90,0.10,8.90,,0.10,
ALE,2025-09-01,A,0.06,5.30,5.30,,,
ALB,2025-09-01,A,4.70,8.30,8.30,,,
PARR,2025-09-01,BBB,3.20,3.40,3.40,,,
FRME,2025-09-01,BB,0.30,0.30,6.70,,,
COHR,2025-09-01,BBB,3.50,9.50,9.50,,,
MNST,2025-09-01,BB,2.50,5.80,7.20,,5.80,
CBT,2025-09-01,A,4.90,5.70,5.70,,,
AGYS,2025-09-01,A,4.70,6.70,6.70,,,
BDX,2025-09-01,AA,4.30,0.10,0.10,,,
SUN,2025-09-01,AAA,8.50,8.50,0.10,,,8.50
DGX,2025-09-01,AAA,8.50,8.50,8.50,,,
ESE,2025-09-01,AA,3.60,0.09,0.09,,,
EVR,2025-09-01,BB,2.30,2.30,8.30,,,
GBX,2025-09-01,A,2.90,0.10,0.10,,,
LKQ,2025-09-01,AAA,0.04,0.04,0.10,,0.04,
OSK,2025-09-01,BBB,4.10,0.09,0.09,,,
PAG,2025-09-01,AA,3.70,3.70,0.10,,,
KRC,2025-09-01,BBB,7.10,0.09,0.09,,,
UPBD,2025-09-01,AA,3.30,3.30,7.90,,3.30,
SLGN,2025-09-01,BB,6.20,6.70,6.70,,,
MDGL,2025-09-01,B,1.90,6.40,6.40,,,
MPWR,2025-09-01,A,4.80,9.80,9.80,,,
STRL,2025-09-01,A,2.80,6.20,6.20,,,
SM,2025-09-01,A,3.80,4.70,4.70,,,
PNW,2025-09-01,A,6.30,5.60,5.60,,,
WEN,2025-09-01,AA,6.20,0.10,0.10,,,
XEL,2025-09-01,AA,7.30,7.50,7.50,,,
WSM,2025-09-01,AAA,7.60,0.10,0.10,,0.10,
SXI,2025-09-01,BBB,3.80,8.40,8.40,,,
T,2025-09-01,BBB,0.10,0.10,0.10,,,
DPZ,2025-09-01,BBB,1.90,0.10,0.10,,,
SYY,2025-09-01,A,5.40,5.20,0.10,,5.20,
CVX,2025-09-01,BB,3.80,5.50,5.50,,,
CHCO,2025-09-01,BBB,2.50,2.50,0.08,,,
CHDN,2025-09-01,BBB,3.10,4.90,4.90,,,
AVA,2025-09-01,AA,7.30,9.30,9.30,,,
BA,2025-09-01,BB,3.60,0.10,0.10,,,
DXPE,2025-09-01,BB,4.90,0.08,0.08,,,
DIOD,2025-09-01,BB,4.10,0.07,0.07,,,
FSLR,2025-09-01,AA,0.07,7.50,7.50,,,
IP,2025-09-01,AA,5.90,7.40,7.40,,,
ICUI,2025-09-01,AA,7.60,7.60,7.60,,,
GTLS,2025-09-01,A,3.80,0.10,0.10,,,
T,2025-09-01,BBB,0.10,0.10,0.10,,,
ATRC,2025-09-01,AA,6.70,6.70,6.70,,,
G,2025-09-01,AA,0.10,0.10,0.10,,,
GWW,2025-09-01,AAA,4.20,0.10,0.10,,,
JPM,2025-09-01,A,7.60,7.60,0.10,,,
GEL,2025-09-01,BBB,4.40,2.50,2.50,,,
MMC,2025-09-01,AA,0.10,0.10,0.10,,,0.10
MFA,2025-09-01,BB,6.70,6.70,6.70,,,
SNPS,2025-09-01,AA,0.06,0.10,0.10,,,
SBCF,2025-09-01,BB,0.70,0.70,0.08,,,
MAR,2025-09-01,BBB,6.40,9.10,9.10,,,
MTH,2025-09-01,A,4.80,7.80,7.80,,,
CRK,2025-09-01,CCC,1.30,0.00,0.00,,,
BR,2025-09-01,AAA,0.10,0.10,0.10,,,
MCK,2025-09-01,AA,0.10,0.10,0.10,,,
JLL,2025-09-01,AA,5.50,0.10,0.10,,,
UNP,2025-09-01,AA,5.90,5.90,5.90,,,
COLB,2025-09-01,BBB,0.40,0.40,6.70,,,
ADM,2025-09-01,AA,6.10,0.10,0.10,,,
CON,2025-09-01,BBB,4.50,0.10,0.10,,,
VAL,2025-09-01,AA,3.40,5.90,5.90,,,
DVAX,2025-09-01,A,4.10,0.06,0.06,,,
ERIE,2025-09-01,B,1.40,1.40,6.70,,,1.40
EXAS,2025-09-01,A,3.10,0.09,0.09,,,
WBD,2025-09-01,BBB,0.09,0.09,0.09,,,
INOD,2025-09-01,B,7.20,7.20,7.20,,,
ADBE,2025-09-01,AAA,5.80,0.10,0.10,,,
EXE,2025-09-01,BBB,3.40,3.20,3.20,,,
DIS,2025-09-01,BBB,0.10,0.10,0.10,,,
FLO,2025-09-01,A,3.80,4.10,9.50,,4.10,
FMC,2025-09-01,A,6.60,0.10,0.10,,,
FUL,2025-09-01,A,5.80,7.30,7.30,,,
CSL,2025-09-01,AA,5.60,0.10,0.10,,,
KO,2025-09-01,AA,0.05,0.10,0.10,,0.10,
SRE,2025-09-01,AA,3.80,6.60,6.60,,,
OXY,2025-09-01,A,4.50,4.80,4.80,,,
NDAQ,2025-09-01,AA,0.10,0.10,0.10,,,
SIGI,2025-09-01,AA,6.30,6.30,0.09,,,6.30
SMCI,2025-09-01,B,0.03,9.70,9.70,,,
TSN,2025-09-01,BBB,2.70,0.60,8.40,,0.60,
RF,2025-09-01,A,0.04,0.04,0.10,,,
NPO,2025-09-01,A,3.40,7.70,7.70,,,
TEL,2025-09-01,AAA,0.10,0.10,0.10,,,
PPL,2025-09-01,BBB,5.50,3.40,3.40,,,
D,2025-09-01,AA,7.40,7.30,7.30,,,
OHI,2025-09-01,BBB,3.50,6.30,6.30,,,
VRNT,2025-09-01,AA,5.50,0.09,0.09,,,
MMM,2025-09-01,AAA,5.40,0.10,0.10,,,
ACM,2025-09-01,A,6.20,0.10,0.10,,,
CRBG,2025-09-01,BB,0.05,0.05,6.70,,,
AAL,2025-09-01,BBB,5.30,5.30,5.30,,,
T,2025-09-01,BBB,0.10,0.10,0.10,,,
VCEL,2025-09-01,BB,4.10,5.70,5.70,,,
EPAC,2025-09-01,AA,3.90,7.90,7.90,,,
APD,2025-09-01,A,4.10,0.05,0.05,,,
ALK,2025-09-01,AAA,4.80,4.80,4.80,,,
AFG,2025-09-01,BB,4.90,4.90,0.08,,,4.90
TVTX,2025-09-01,B,1.90,6.40,6.40,,,
AMP,2025-09-01,A,0.10,0.10,0.10,,,
AMKR,2025-09-01,BB,0.04,9.20,9.20,,,
ADI,2025-09-01,AAA,6.40,9.70,9.70,,,
ATR,2025-09-01,AA,6.20,8.20,8.20,,,
AGO,2025-09-01,BBB,5.40,5.40,0.10,,,5.40
ATO,2025-09-01,A,6.80,0.10,0.10,,,
BOKF,2025-09-01,BB,0.01,0.01,8.30,,,
BANF,2025-09-01,BB,0.00,0.00,0.08,,,
BKH,2025-09-01,A,5.70,4.90,4.90,,,
BOOT,2025-09-01,AA,4.30,9.40,9.40,,,
CMCSA,2025-09-01,BB,0.10,0.10,0.10,,,
CVS,2025-09-01,BBB,0.10,0.10,0.10,,,
CRL,2025-09-01,A,0.10,0.10,0.10,,,
PNR,2025-09-01,B,0.60,1.70,1.70,,,
C,2025-09-01,A,8.60,8.60,0.10,,,
CSGP,2025-09-01,A,9.60,9.60,9.60,,,
CTSH,2025-09-01,BBB,6.20,0.10,0.10,,,
CMCSA,2025-09-01,BBB,0.10,0.10,0.10,,,
COP,2025-09-01,A,3.90,3.70,3.20,,,
CORT,2025-09-01,B,1.80,6.40,6.40,,,
MRK,2025-09-01,A,5.20,0.10,0.10,,,
DLR,2025-09-01,AAA,8.10,0.10,0.10,,,
EW,2025-09-01,AAA,0.10,0.10,0.10,,,
EIG,2025-09-01,BB,0.04,0.04,7.30,,,0.04
EQIX,2025-09-01,AAA,6.80,7.90,7.90,,,
EEFT,2025-09-01,B,6.70,6.70,6.70,,,
EXPO,2025-09-01,BBB,6.80,6.80,6.80,,,
XPO,2025-09-01,AA,6.70,6.70,6.70,,,
EXR,2025-09-01,BB,4.50,9.60,9.60,,,
FCN,2025-09-01,AA,0.10,0.10,0.10,,,
FHI,2025-09-01,BB,0.10,0.10,0.10,,,
FULT,2025-09-01,BBB,1.50,1.50,8.30,,,
IT,2025-09-01,AAA,0.10,0.10,0.10,,,
GNTX,2025-09-01,BB,0.04,0.10,0.10,,,
ROCK,2025-09-01,A,5.30,8.10,8.10,,,
GILD,2025-09-01,AAA,5.90,0.10,0.10,,,
HEI,2025-09-01,BB,2.30,6.10,6.10,,,
HOG,2025-09-01,AAA,0.07,0.10,0.10,,0.10,
HSII,2025-09-01,A,0.09,0.09,0.09,,,
HXL,2025-09-01,A,4.80,7.40,7.40,,,
HIW,2025-09-01,BBB,6.80,8.90,8.90,,,
HMN,2025-09-01,BBB,1.90,1.90,9.70,,,1.90
IMKTA,2025-09-01,CCC,0.02,0.60,0.07,,0.60,
NSIT,2025-09-01,AA,2.90,0.10,0.10,,,
IART,2025-09-01,AA,0.09,0.09,0.09,,,
JBL,2025-09-01,A,5.10,0.10,0.10,,,
JBLU,2025-09-01,A,2.20,2.20,2.20,,,
JCI,2025-09-01,AA,6.40,0.10,0.10,,,
KALU,2025-09-01,A,2.60,3.50,3.50,,,
KW,2025-09-01,A,6.50,0.09,0.09,,,
MDLZ,2025-09-01,A,3.60,6.70,9.70,,6.70,
KR,2025-09-01,A,0.05,3.80,0.10,,3.80,
LRCX,2025-09-01,AAA,0.03,0.10,0.10,,,
LNC,2025-09-01,BBB,6.70,6.70,9.30,,,6.70
LNN,2025-09-01,AA,3.40,0.08,0.08,,,
MHO,2025-09-01,BBB,3.70,6.10,6.10,,,
MDU,2025-09-01,AAA,6.30,8.50,8.50,,,
MAN,2025-09-01,BBB,9.70,9.70,9.70,,,
MPW,2025-09-01,BBB,5.60,6.70,6.70,,,
MOH,2025-09-01,A,8.70,8.70,8.70,,,
MWA,2025-09-01,AAA,5.40,0.10,0.10,,,
NHI,2025-09-01,CCC,2.50,5.90,5.90,,,
NEU,2025-09-01,BBB,1.80,6.90,6.90,,,
NYT,2025-09-01,A,8.10,7.80,7.80,,,
NEM,2025-09-01,A,4.30,7.20,7.20,,,
NWBI,2025-09-01,BBB,2.80,2.80,6.70,,,
ORI,2025-09-01,BBB,5.50,5.50,0.07,,,5.50
PDFS,2025-09-01,A,5.30,8.30,8.30,,,
TXNM,2025-09-01,A,0.06,6.20,6.20,,,
PAR,2025-09-01,A,4.90,7.70,7.70,,,
TPC,2025-09-01,BBB,4.20,5.90,5.90,,,
VAC,2025-09-01,AA,6.50,8.20,8.20,,,
RL,2025-09-01,A,8.20,0.10,0.10,,0.10,
AVNT,2025-09-01,A,5.40,7.70,7.70,,,
PCH,2025-09-01,AA,6.70,6.20,6.20,,,
PG,2025-09-01,AA,5.70,0.10,0.10,,0.10,
PRU,2025-09-01,AAA,6.70,6.70,0.10,,,6.70
PPC,2025-09-01,BBB,5.70,8.40,8.40,,,
PSA,2025-09-01,BBB,5.20,9.60,9.60,,,
PWR,2025-09-01,A,4.20,0.10,0.10,,,
RBCAA,2025-09-01,BB,1.10,1.10,6.70,,,
RSG,2025-09-01,AA,4.10,6.40,6.40,,,
DOW,2025-09-01,AA,4.70,5.90,5.90,,,
LOW,2025-09-01,AA,6.30,9.30,0.10,,9.30,
ROST,2025-09-01,BBB,0.03,5.20,0.10,,5.20,
SRE,2025-09-01,CCC,2.70,6.80,6.80,,,
SW,2025-09-01,A,4.90,0.10,0.10,,,
SAH,2025-09-01,BBB,3.10,2.20,7.70,,2.20,
TXN,2025-09-01,AAA,6.60,9.40,9.40,,,
TXT,2025-09-01,A,2.90,0.10,0.10,,,
TSN,2025-09-01,BBB,2.70,0.60,8.40,,0.60,
UMBF,2025-09-01,BBB,1.10,1.10,8.30,,,
USB,2025-09-01,AA,0.06,0.06,0.10,,,
VECO,2025-09-01,AA,2.80,0.10,0.10,,,
VZ,2025-09-01,A,0.10,0.10,0.10,,,
VICR,2025-09-01,B,5.10,5.80,5.80,,,
MTG,2025-09-01,A,3.80,8.70,8.70,,,
GHC,2025-09-01,BB,6.10,6.10,6.10,,,
WST,2025-09-01,AA,0.10,0.10,0.10,,,
WABC,2025-09-01,BB,0.60,0.60,6.70,,,
WYNN,2025-09-01,BB,4.80,7.90,7.90,,,
BGC,2025-09-01,B,6.70,6.70,6.70,,,
VMC,2025-09-01,A,5.50,7.70,7.70,,,
DUK,2025-09-01,A,5.10,6.60,6.60,,,
ENOV,2025-09-01,A,8.60,8.60,8.60,,,
OKE,2025-09-01,A,4.30,4.90,4.90,,,
LIF,2025-09-01,A,3.40,4.60,4.60,,,
OGE,2025-09-01,BBB,5.10,4.30,4.30,,,
PAA,2025-09-01,BBB,3.20,3.80,3.80,,,
PEG,2025-09-01,A,7.10,8.40,8.40,,,
D,2025-09-01,A,0.06,5.60,5.60,,,
WEC,2025-09-01,A,5.90,0.06,0.06,,,
FE,2025-09-01,BBB,4.80,3.20,3.20,,,
KMI,2025-09-01,AAA,6.40,0.05,0.05,,,
PK,2025-09-01,BBB,6.40,7.30,7.30,,,
FE,2025-09-01,A,5.90,6.90,6.90,,,
ETR,2025-09-01,BBB,6.40,6.40,6.40,,,
BA,2025-09-01,BB,3.60,0.10,0.10,,,
CAT,2025-09-01,AA,4.90,0.10,0.10,,,
TMUS,2025-09-01,BB,0.10,0.10,0.10,,,
NOC,2025-09-01,A,2.20,0.10,0.10,,,
SJM,2025-09-01,AA,3.70,4.40,9.40,,4.40,
AMP,2025-09-01,AA,9.50,9.50,0.10,,9.50,
BIIB,2025-09-01,AA,5.90,0.10,0.10,,,
T,2025-09-01,BBB,0.10,0.10,0.10,,,
CMC,2025-09-01,AA,4.20,6.70,6.70,,,
CNO,2025-09-01,AA,5.30,5.30,0.10,,,5.30
MS,2025-09-01,AA,0.10,0.10,0.10,,,
DHR,2025-09-01,AA,0.10,0.10,0.10,,,
LKFN,2025-09-01,BB,0.00,0.00,6.70,,,
RTX,2025-09-01,BBB,4.30,0.10,0.10,,,
J,2025-09-01,AAA,0.10,0.10,0.10,,,
BFC,2025-09-01,BB,0.80,0.80,8.30,,,
MAA,2025-09-01,BB,4.90,4.70,4.70,,,
UDR,2025-09-01,B,5.60,8.90,8.90,,,
CNXN,2025-09-01,BB,3.60,6.40,6.40,,,
PNR,2025-09-01,AAA,5.10,0.10,0.10,,,
SIRI,2025-09-01,A,3.50,9.50,9.50,,,
MTX,2025-09-01,A,0.02,0.10,0.10,,,
CRI,2025-09-01,AA,6.30,9.10,0.10,,9.10,
NPKI,2025-09-01,BB,5.20,3.70,3.70,,,
CATY,2025-09-01,BB,1.50,1.50,8.30,,,
IBM,2025-09-01,AA,8.10,0.10,0.10,,,
HUBG,2025-09-01,BBB,7.50,7.50,7.50,,,
IBOC,2025-09-01,BB,0.00,0.00,6.70,,,
GE,2025-09-01,BBB,2.60,0.10,0.10,,,
ARI,2025-09-01,BBB,2.30,3.80,3.80,,,
CNA,2025-09-01,B,4.90,4.90,0.07,,,4.90
CPT,2025-09-01,BB,0.06,9.60,9.60,,,
KW,2025-09-01,A,6.50,0.09,0.09,,,
COR,2025-09-01,AA,8.50,0.10,0.10,,,
HTH,2025-09-01,BB,1.30,1.30,8.70,,,
KFY,2025-09-01,A,0.10,0.10,0.10,,,
KMX,2025-09-01,AA,2.40,2.10,0.10,,2.10,
PEG,2025-09-01,AA,7.40,0.10,0.10,,,
NDSN,2025-09-01,BBB,3.40,0.10,0.10,,,
OTTR,2025-09-01,BBB,5.60,7.30,7.30,,,
MIDD,2025-09-01,BBB,4.20,8.50,8.50,,,
UHAL,2025-09-01,BB,6.10,6.10,6.10,,,
SAM,2025-09-01,BB,3.10,2.90,6.90,,2.90,
WEN,2025-09-01,AA,6.20,0.10,0.10,,,
ARE,2025-09-01,AA,4.20,0.10,0.10,,,
YOU,2025-09-01,AA,9.60,9.60,9.60,,,
WMT,2025-09-01,BBB,0.08,8.20,0.10,,8.20,
MRK,2025-09-01,A,5.20,0.10,0.10,,,
EIX,2025-09-01,A,0.06,9.90,9.90,,,
FICO,2025-09-01,AA,4.90,0.07,0.07,,,
CHH,2025-09-01,AA,3.70,5.20,5.20,,,
AEP,2025-09-01,AA,6.80,7.50,7.50,,,
AME,2025-09-01,BBB,5.10,0.10,0.10,,,
BBY,2025-09-01,AA,3.40,0.10,0.10,,,
HWC,2025-09-01,BBB,0.70,0.70,9.30,,,
CF,2025-09-01,BBB,2.50,3.40,3.40,,,
JBHT,2025-09-01,AA,7.70,7.70,7.70,,,
LECO,2025-09-01,A,4.10,0.10,0.10,,,
ASTE,2025-09-01,AA,2.90,8.50,8.50,,,
CTRA,2025-09-01,BBB,4.60,9.20,9.20,,,
COO,2025-09-01,AAA,0.09,0.09,0.09,,,
KHC,2025-09-01,AA,4.40,5.70,9.30,,5.70,
LMT,2025-09-01,A,3.40,0.10,0.10,,,
LTC,2025-09-01,B,2.90,5.60,5.60,,,
PGR,2025-09-01,A,3.70,3.70,0.10,,,3.70
VMC,2025-09-01,A,5.50,7.70,7.70,,,
STLD,2025-09-01,AA,5.20,8.60,8.60,,,
SYBT,2025-09-01,BB,0.40,0.40,0.08,,,
UTHR,2025-09-01,BBB,2.30,0.08,0.08,,,
REX,2025-09-01,B,0.03,2.50,2.50,,,
TRS,2025-09-01,BB,5.30,7.80,7.80,,,
UTI,2025-09-01,A,0.07,0.07,0.07,,,
WAT,2025-09-01,AAA,0.10,0.10,0.10,,,
BWA,2025-09-01,AA,0.06,0.10,0.10,,,
CSR,2025-09-01,BB,1.70,0.00,9.30,,0.00,
SPR,2025-09-01,BBB,0.02,0.10,0.10,,,
GD,2025-09-01,BBB,3.10,0.10,0.10,,,
AN,2025-09-01,AA,2.20,1.30,7.40,,1.30,
CINF,2025-09-01,BBB,3.30,3.30,8.70,,,3.30
