issuer_ticker,as_of_date,iva_company_rating,environmental_pillar_score,climate_change_theme_score,carbon_emissions_score,energy_efficiency_score,prod_carb_ftprnt_score,ins_climate_chg_risk_score
AGX,2025-09-01,BBB,3.90,7.20,7.20,,,
EXPE,2025-09-01,BB,0.10,0.10,0.10,,,
FCNCA,2025-09-01,BB,0.60,0.60,6.70,,,
IESC,2025-09-01,BBB,3.50,6.20,6.20,,,
BOH,2025-09-01,BBB,3.10,3.10,0.07,,,
ARWR,2025-09-01,BBB,6.10,0.07,0.07,,,
SRPT,2025-09-01,BBB,2.60,8.40,8.40,,,
HCC,2025-09-01,B,3.70,6.70,6.70,,,
CHD,2025-09-01,AA,6.30,0.10,0.10,,0.10,
PRU,2025-09-01,A,2.70,6.20,6.20,,,
PEB,2025-09-01,A,1.80,6.90,6.90,,,
EXC,2025-09-01,AA,7.30,9.20,9.20,,,
PFG,2025-09-01,AA,6.70,6.70,0.10,,,6.70
TRMK,2025-09-01,BBB,0.80,0.80,0.07,,,
QXO,2025-09-01,BBB,4.40,6.70,6.70,,,
SPB,2025-09-01,A,2.70,1.50,6.20,,1.50,
THG,2025-09-01,BBB,2.90,2.90,8.70,,,2.90
ABG,2025-09-01,AA,7.30,7.30,0.10,,,
AGCO,2025-09-01,A,4.40,0.10,0.10,,,
ADM,2025-09-01,AAA,7.90,7.90,0.10,,,7.90
ADP,2025-09-01,A,9.40,0.09,0.09,,,
ALGN,2025-09-01,A,6.90,6.90,6.90,,,
ALV,2025-09-01,AA,0.10,0.10,0.10,,,0.10
ASB,2025-09-01,BBB,1.80,1.80,9.30,,,
AUB,2025-09-01,B,5.20,0.10,0.10,,,
ADSK,2025-09-01,AAA,6.90,0.10,0.10,,,
CLDX,2025-09-01,A,6.60,6.70,6.70,,,
BJ,2025-09-01,AA,5.50,6.70,8.10,,6.70,
BKR,2025-09-01,AA,8.70,0.10,0.10,,,
BK,2025-09-01,AA,0.10,0.10,0.10,,,
BDC,2025-09-01,AA,0.03,0.10,0.10,,,
BIO,2025-09-01,BBB,0.10,0.10,0.10,,,
BLFS,2025-09-01,A,6.40,6.40,6.40,,,
BMRN,2025-09-01,BBB,0.06,7.50,7.50,,,
BLKB,2025-09-01,AA,5.70,9.70,9.70,,,
DCOM,2025-09-01,BB,0.00,0.00,0.08,,,
CHRW,2025-09-01,AAA,0.10,0.10,0.10,,,
MODG,2025-09-01,AA,7.40,7.30,7.30,,,
CSL,2025-09-01,A,4.60,5.50,5.50,,,
CCL,2025-09-01,BB,3.40,5.90,5.90,,,
CHTR,2025-09-01,BBB,0.10,0.10,0.10,,,
CAKE,2025-09-01,BBB,2.20,0.10,0.10,,,
CTRA,2025-09-01,BBB,3.80,4.50,4.50,,,
CFG,2025-09-01,A,5.10,5.10,0.10,,,
CLF,2025-09-01,BBB,2.60,3.60,3.60,,,
CBU,2025-09-01,BBB,3.50,3.50,6.70,,,
CFR,2025-09-01,AA,0.08,9.80,0.10,,9.80,
ED,2025-09-01,A,6.50,8.10,8.10,,,
STZ,2025-09-01,A,5.10,7.30,9.70,,7.30,
CPRT,2025-09-01,A,0.07,0.07,0.07,,,
CRVL,2025-09-01,AA,6.60,6.60,6.60,,,
CWK,2025-09-01,AAA,4.20,5.10,7.90,,5.10,
DVN,2025-09-01,A,2.60,2.50,2.50,,,
LCII,2025-09-01,AA,3.10,8.20,8.20,,,
EME,2025-09-01,AA,4.10,0.10,0.10,,,
EXP,2025-09-01,BBB,1.70,2.30,2.30,,,
EWBC,2025-09-01,BBB,0.80,0.80,8.30,,,
ENS,2025-09-01,BBB,3.10,0.10,0.10,,,
EQT,2025-09-01,AA,4.30,4.10,4.10,,,
EG,2025-09-01,A,5.10,5.10,0.10,,,5.10
EXEL,2025-09-01,BB,2.20,0.08,0.08,,,
EXPD,2025-09-01,AAA,9.90,9.90,9.90,,,
FSS,2025-09-01,A,3.50,0.10,0.10,,,
FDX,2025-09-01,A,7.70,7.70,7.70,,,
FIS,2025-09-01,A,0.10,0.10,0.10,,,
FFBC,2025-09-01,BBB,0.00,0.00,7.70,,,
FR,2025-09-01,BBB,0.05,5.70,5.70,,,
BANC,2025-09-01,BBB,2.30,2.30,0.07,,,
FDP,2025-09-01,A,3.40,9.40,9.40,,,
GIII,2025-09-01,BB,3.40,5.10,6.60,,5.10,
TGNA,2025-09-01,AA,0.09,0.09,0.09,,,
GS,2025-09-01,AA,8.90,8.90,0.10,,,
GPI,2025-09-01,AA,3.60,3.70,8.40,,3.70,
WELL,2025-09-01,AA,6.10,9.60,9.60,,,
EHC,2025-09-01,AA,5.10,5.10,5.10,,,
ASH,2025-09-01,BBB,4.40,6.70,6.70,,,
HSY,2025-09-01,A,4.40,0.07,9.40,,0.07,
HCI,2025-09-01,BBB,2.90,7.40,7.40,,,
HBAN,2025-09-01,A,3.20,3.20,0.10,,,
IPG,2025-09-01,AA,0.10,0.10,0.10,,,
INTU,2025-09-01,AAA,5.70,0.10,0.10,,,
JJSF,2025-09-01,B,1.60,0.70,6.70,,0.70,
JNJ,2025-09-01,BBB,0.05,0.10,0.10,,,
KBH,2025-09-01,AA,5.90,0.10,0.10,,,
KLAC,2025-09-01,A,3.50,0.10,0.10,,,
K,2025-09-01,AA,4.60,8.10,0.10,,8.10,
KEX,2025-09-01,B,3.20,0.05,0.05,,,
AD,2025-09-01,AA,5.40,5.50,0.10,,5.50,
LEA,2025-09-01,AA,3.60,0.10,0.10,,,
LEN,2025-09-01,BBB,0.04,6.90,6.90,,,
LGND,2025-09-01,BB,1.90,6.40,6.40,,,
BBWI,2025-09-01,AAA,5.10,0.09,0.10,,0.09,
MET,2025-09-01,AA,4.40,4.40,0.10,,,4.40
TMUS,2025-09-01,BB,0.10,0.10,0.10,,,
MTD,2025-09-01,AAA,0.10,0.10,0.10,,,
TAP,2025-09-01,AAA,7.10,9.40,0.10,,9.40,
MORN,2025-09-01,BBB,0.10,0.10,0.10,,,
VTRS,2025-09-01,BBB,3.90,0.10,0.10,,,
NTCT,2025-09-01,BBB,6.20,9.30,9.30,,,
NFLX,2025-09-01,BB,0.10,0.10,0.10,,,
NXT,2025-09-01,AA,0.08,0.09,0.10,,0.09,
NSC,2025-09-01,BBB,5.70,5.70,5.70,,,
ORLY,2025-09-01,A,4.60,7.10,0.10,,7.10,
ON,2025-09-01,A,5.20,8.80,8.80,,,
OII,2025-09-01,BBB,6.70,6.60,6.60,,,
CVCO,2025-09-01,BBB,4.20,7.70,7.70,,,
BTU,2025-09-01,BBB,2.10,2.30,2.30,,,
PEBO,2025-09-01,BBB,0.60,0.60,8.30,,,
TEL,2025-09-01,BBB,9.70,9.70,9.70,,,
PVH,2025-09-01,AA,6.60,9.40,0.10,,9.40,
PDM,2025-09-01,A,7.20,8.70,8.70,,,
LIN,2025-09-01,A,4.80,5.30,5.30,,,
PLD,2025-09-01,AA,6.30,9.30,9.30,,,
DUK,2025-09-01,AA,6.30,7.50,4.60,,,
EYPT,2025-09-01,A,2.60,6.40,6.40,,,
RES,2025-09-01,BB,5.60,5.40,5.40,,,
RGEN,2025-09-01,AA,9.30,9.30,9.30,,,
ROK,2025-09-01,AA,6.10,0.10,0.10,,,
ROL,2025-09-01,BBB,4.70,4.70,4.70,,,
R,2025-09-01,AAA,9.30,9.30,9.30,,,
SLG,2025-09-01,BBB,7.10,9.20,9.20,,,
LDOS,2025-09-01,AA,6.60,0.10,0.10,,,
SCSC,2025-09-01,A,3.80,8.70,8.70,,,
SMTC,2025-09-01,BB,4.40,9.50,9.50,,,
SKT,2025-09-01,A,7.70,7.70,7.70,,,
LUV,2025-09-01,B,3.90,3.90,3.90,,,
SNV,2025-09-01,A,3.10,3.10,9.30,,,
TTMI,2025-09-01,BBB,2.20,5.90,5.90,,,
TDC,2025-09-01,AA,5.90,0.10,0.10,,,
TEX,2025-09-01,AA,3.80,0.10,0.10,,,
TTEK,2025-09-01,BBB,0.10,0.10,0.10,,,
TR,2025-09-01,CCC,0.10,0.60,4.90,,0.60,
GL,2025-09-01,BBB,0.06,0.06,9.30,,,0.06
TRU,2025-09-01,A,0.04,5.10,9.10,,5.10,
UAL,2025-09-01,BBB,4.90,4.90,4.90,,,
UCB,2025-09-01,AA,5.40,0.10,0.10,,,
UNF,2025-09-01,CCC,1.80,8.10,8.10,,,
AUB,2025-09-01,BBB,0.00,0.00,0.07,,,
UCB,2025-09-01,BBB,0.50,0.50,8.30,,,
URI,2025-09-01,AA,3.50,0.10,0.10,,,
UNM,2025-09-01,A,6.90,6.90,0.10,,,6.90
MTN,2025-09-01,BBB,5.60,9.90,9.90,,,
VMI,2025-09-01,AA,4.20,0.10,0.10,,,
VRSN,2025-09-01,AA,0.08,0.08,0.08,,,
WLFC,2025-09-01,CCC,2.60,6.70,6.70,,,
WT,2025-09-01,BBB,0.08,0.08,0.08,,,
WOR,2025-09-01,A,3.10,0.10,0.10,,,
IRDM,2025-09-01,AA,8.90,8.90,8.90,,,
AES,2025-09-01,AA,6.80,7.10,7.10,,,
KMI,2025-09-01,AAA,6.40,0.05,0.05,,,
AEP,2025-09-01,BBB,5.20,3.40,3.40,,,
ENB,2025-09-01,AA,5.50,6.90,6.90,,,
TRGP,2025-09-01,AA,4.70,2.10,2.10,,,
EVRG,2025-09-01,A,5.90,5.90,5.90,,,
EXC,2025-09-01,AA,7.20,6.90,6.90,,,
ARMK,2025-09-01,A,0.05,9.70,9.70,,,
ENB,2025-09-01,AA,4.40,5.30,5.30,,,
BK,2025-09-01,AA,0.10,0.10,0.10,,,
PLD,2025-09-01,AA,6.30,9.30,9.30,,,
ATUS,2025-09-01,BB,0.07,0.07,0.07,,,
USB,2025-09-01,AA,0.06,0.06,0.10,,,
GE,2025-09-01,BBB,2.60,0.10,0.10,,,
L,2025-09-01,BB,5.40,5.40,0.08,,,5.40
FYBR,2025-09-01,BBB,8.50,8.50,8.50,,,
SRE,2025-09-01,A,7.10,5.20,5.20,,,
BK,2025-09-01,AA,0.10,0.10,0.10,,,
BG,2025-09-01,AAA,5.40,9.50,9.50,,,
SEM,2025-09-01,A,5.30,5.30,5.30,,,
HOUS,2025-09-01,AA,3.20,7.70,7.70,,,
LUMN,2025-09-01,AA,0.10,0.10,0.10,,,
ADI,2025-09-01,CCC,3.40,0.08,0.08,,,
TRGP,2025-09-01,AA,4.70,2.10,2.10,,,
VRTS,2025-09-01,BB,6.70,6.70,6.70,,,
VRSK,2025-09-01,AA,0.10,0.10,0.10,,,
COTY,2025-09-01,A,5.30,0.10,0.10,,0.10,
MAA,2025-09-01,BB,4.90,4.70,4.70,,,
H,2025-09-01,BB,4.50,8.20,8.20,,,
TWO,2025-09-01,B,0.08,0.08,0.08,,,
PEB,2025-09-01,A,0.06,9.60,9.60,,,
SSNC,2025-09-01,B,0.08,0.08,0.08,,,
HPP,2025-09-01,A,0.08,9.80,9.80,,,
HR,2025-09-01,B,4.20,8.90,8.90,,,
AAT,2025-09-01,BBB,7.40,0.09,0.09,,,
SFM,2025-09-01,AAA,5.50,4.60,0.10,,4.60,
MPLX,2025-09-01,A,5.70,0.05,0.05,,,
CLSK,2025-09-01,B,0.30,0.30,0.30,,,
PTEN,2025-09-01,BBB,4.60,3.90,3.90,,,
VAC,2025-09-01,A,3.70,5.70,5.70,,,
VBTX,2025-09-01,BBB,0.00,0.00,6.70,,,
CIVI,2025-09-01,A,3.40,3.80,3.80,,,
GWRE,2025-09-01,AA,4.90,0.10,0.10,,,
PRLB,2025-09-01,A,3.60,6.10,6.10,,,
TRU,2025-09-01,AA,0.10,0.10,0.10,,,
GOGO,2025-09-01,AAA,6.20,6.20,6.20,,,
QLYS,2025-09-01,BBB,8.70,8.70,8.70,,,
RHP,2025-09-01,A,5.50,7.30,7.30,,,
TIC,2025-09-01,BB,0.10,0.10,0.10,,,
IR,2025-09-01,AA,5.50,0.10,0.10,,,
MUSA,2025-09-01,AAA,6.60,6.60,6.60,,,
VLO,2025-09-01,A,4.90,6.60,6.60,,,
MMI,2025-09-01,A,5.20,6.70,6.70,,,
VCYT,2025-09-01,AA,6.90,6.90,6.90,,,
ORA,2025-09-01,AA,0.07,7.60,7.60,,,
LADR,2025-09-01,BB,8.70,8.70,8.70,,,
OGS,2025-09-01,AAA,8.90,8.90,8.90,,,
LOB,2025-09-01,BB,0.00,0.00,6.70,,,
ARES,2025-09-01,BBB,0.07,0.07,0.07,,,
LNTH,2025-09-01,BBB,2.30,7.60,7.60,,,
CCOI,2025-09-01,A,7.90,7.90,7.90,,,
QSR,2025-09-01,BBB,5.50,0.10,0.10,,,
NSA,2025-09-01,B,3.10,6.60,6.60,,,
USFD,2025-09-01,AAA,4.70,5.50,0.10,,5.50,
EVH,2025-09-01,BBB,0.08,0.08,0.08,,,
CABO,2025-09-01,AAA,0.08,0.08,0.08,,,
NTRA,2025-09-01,BB,1.80,0.09,0.09,,,
BLD,2025-09-01,AA,5.10,7.80,7.80,,,
LITE,2025-09-01,A,2.50,9.40,9.40,,,
NVCR,2025-09-01,A,7.70,7.70,7.70,,,
PSTG,2025-09-01,A,4.20,9.10,9.10,,,
WVE,2025-09-01,BBB,6.10,0.07,0.07,,,
LIVN,2025-09-01,A,0.10,0.10,0.10,,,
APLS,2025-09-01,B,2.20,6.70,6.70,,,
ARRY,2025-09-01,A,4.70,0.10,0.10,,,
PTGX,2025-09-01,BB,5.10,6.70,6.70,,,
ASH,2025-09-01,BBB,4.40,6.70,6.70,,,
DFIN,2025-09-01,A,0.09,0.09,0.09,,,
VVV,2025-09-01,AA,5.50,0.10,0.10,,,
GOLF,2025-09-01,BBB,5.50,7.10,7.10,,,
LW,2025-09-01,AA,3.80,3.80,9.80,,3.80,
OSCR,2025-09-01,B,5.30,5.30,0.08,,,5.30
SBAC,2025-09-01,AAA,8.50,8.50,8.50,,,
CTRE,2025-09-01,B,6.40,0.09,0.09,,,
OKTA,2025-09-01,AA,0.10,0.10,0.10,,,
ARIS,2025-09-01,BB,2.50,6.40,6.40,,,
CNM,2025-09-01,AA,4.70,8.10,8.10,,,
PHIN,2025-09-01,A,3.50,7.80,7.80,,,
DNLI,2025-09-01,BBB,0.06,6.70,6.70,,,
THG,2025-09-01,A,9.50,9.50,9.50,,,
GTES,2025-09-01,AA,4.10,9.20,9.20,,,
WHD,2025-09-01,BBB,5.60,5.90,5.90,,,
ZS,2025-09-01,AA,0.10,0.10,0.10,,,
WH,2025-09-01,A,5.50,7.90,7.90,,,
KKR,2025-09-01,BBB,0.07,0.07,0.07,,,
NIC,2025-09-01,BBB,2.30,3.30,3.30,,,
IIIV,2025-09-01,BB,6.70,6.70,6.70,,,
TLRY,2025-09-01,BBB,2.80,5.50,5.50,,,
CRNX,2025-09-01,A,5.10,6.70,6.70,,,
APP,2025-09-01,BB,0.07,0.07,0.07,,,
UPWK,2025-09-01,A,9.30,9.30,9.30,,,
GH,2025-09-01,AA,8.20,8.20,8.20,,,
RAMP,2025-09-01,A,7.20,7.20,7.20,,,
RLI,2025-09-01,BBB,0.04,0.04,0.09,,,0.04
PLMR,2025-09-01,A,4.30,4.30,8.70,,,4.30
LIF,2025-09-01,BB,9.70,9.70,9.70,,,
TMDX,2025-09-01,BB,6.70,6.70,6.70,,,
FSLY,2025-09-01,BBB,6.70,6.70,6.70,,,
ENB,2025-09-01,AA,5.50,6.90,7.80,,,
IMVT,2025-09-01,BB,0.06,6.70,6.70,,,
TMO,2025-09-01,BB,9.20,9.20,9.20,,,
NVST,2025-09-01,A,8.50,8.50,8.50,,,
BYD,2025-09-01,A,7.40,7.40,7.40,,,
CARR,2025-09-01,AA,5.90,0.10,0.10,,,
RSI,2025-09-01,B,4.90,4.90,4.90,,,
APG,2025-09-01,BBB,2.90,6.30,6.30,,,
IAC,2025-09-01,BB,8.50,8.50,8.50,,,
UTZ,2025-09-01,BB,1.70,2.40,6.60,,2.40,
PLTR,2025-09-01,BB,5.70,9.50,9.50,,,
U,2025-09-01,A,5.90,0.10,0.10,,,
CLOV,2025-09-01,BBB,6.70,6.70,6.70,,,
CWAN,2025-09-01,BBB,4.60,6.70,6.70,,,
COIN,2025-09-01,BB,6.70,6.70,6.70,,,
APA,2025-09-01,A,3.90,3.90,3.90,,,
OKLO,2025-09-01,BBB,3.70,3.70,3.70,,,
MRVL,2025-09-01,AA,3.80,8.90,8.90,,,
OGN,2025-09-01,A,4.70,0.10,0.10,,,
DV,2025-09-01,AA,7.30,7.30,7.30,,,
FIGS,2025-09-01,BBB,1.50,1.90,5.30,,1.90,
PAY,2025-09-01,B,6.70,6.70,6.70,,,
INTA,2025-09-01,AA,4.90,6.70,6.70,,,
S,2025-09-01,BBB,6.70,6.70,6.70,,,
DUOL,2025-09-01,BBB,6.70,6.70,6.70,,,
CDRE,2025-09-01,BB,2.60,6.20,6.20,,,
CCCS,2025-09-01,A,5.20,0.08,0.08,,,
SLVM,2025-09-01,BBB,3.90,6.40,6.40,,,
BROS,2025-09-01,B,1.40,5.40,5.40,,,
RELY,2025-09-01,BB,6.70,6.70,6.70,,,
AMPL,2025-09-01,BBB,4.20,6.70,6.70,,,
AVDX,2025-09-01,BBB,6.70,6.70,6.70,,,
RIVN,2025-09-01,AA,8.60,0.10,0.10,,0.10,
KD,2025-09-01,A,5.70,0.10,0.10,,,
LUCK,2025-09-01,BB,3.10,4.20,4.20,,,
CRDO,2025-09-01,A,3.10,5.70,5.70,,,
EE,2025-09-01,AA,7.50,7.50,7.50,,,
ACLX,2025-09-01,BB,6.60,6.70,6.70,,,
ESAB,2025-09-01,BB,2.90,8.60,8.60,,,
DKNG,2025-09-01,BBB,5.10,5.10,5.10,,,
IE,2025-09-01,BB,0.01,1.90,1.90,,,
BAM,2025-09-01,A,0.10,0.10,0.10,,,
KVUE,2025-09-01,AA,7.10,0.10,0.10,,0.10,
NXT,2025-09-01,A,5.60,8.50,8.50,,,
PHIN,2025-09-01,A,3.50,7.80,7.80,,,
BATRA,2025-09-01,BBB,5.50,5.50,5.50,,,
WAY,2025-09-01,BBB,6.70,6.70,6.70,,,
LBTYA,2025-09-01,B,0.10,0.10,0.10,,,
ALAB,2025-09-01,B,3.40,4.60,4.60,,,
LOAR,2025-09-01,B,2.30,5.80,5.80,,,
MTSR,2025-09-01,B,0.06,6.70,6.70,,,
SARO,2025-09-01,B,2.40,0.10,0.10,,,
AMTM,2025-09-01,CCC,7.30,7.30,7.30,,,
KNSA,2025-09-01,B,4.10,0.06,0.06,,,
TTD,2025-09-01,BB,6.20,6.20,6.20,,,
RBLX,2025-09-01,BB,6.70,6.70,6.70,,,
JPM,2025-09-01,A,7.60,7.60,0.10,,,
GE,2025-09-01,BBB,2.60,0.10,0.10,,,
LAZ,2025-09-01,AA,4.10,4.10,6.70,,,
NCLH,2025-09-01,A,0.06,5.70,5.70,,,
WYNN,2025-09-01,BB,4.80,7.90,7.90,,,
CMCSA,2025-09-01,BB,0.10,0.10,0.10,,,
WMG,2025-09-01,A,0.10,0.10,0.10,,,
DUK,2025-09-01,A,5.40,7.20,7.20,,,
CLBK,2025-09-01,BB,1.70,1.70,6.70,,,
CP,2025-09-01,A,5.20,5.20,5.10,,,
SBGI,2025-09-01,BB,0.08,0.08,0.08,,,
IVT,2025-09-01,BB,3.80,8.60,8.60,,,
CCB,2025-09-01,BB,0.02,0.02,0.07,,,
CDW,2025-09-01,A,3.30,9.70,9.70,,,
FE,2025-09-01,A,5.50,6.70,6.70,,,
RKT,2025-09-01,AA,6.60,0.10,0.10,,0.10,
PMT,2025-09-01,B,8.30,8.30,8.30,,,
NXPI,2025-09-01,AAA,6.80,9.80,9.80,,,
HI,2025-09-01,AA,0.04,8.50,8.50,,,
ATUS,2025-09-01,BB,0.07,0.07,0.07,,,
OBK,2025-09-01,BB,0.30,0.30,0.08,,,
CALX,2025-09-01,AA,2.80,8.90,8.90,,,
AGO,2025-09-01,BBB,5.40,5.40,0.10,,,5.40
SBRA,2025-09-01,BBB,3.70,5.30,5.30,,,
SSB,2025-09-01,BB,0.30,0.30,0.07,,,
REVG,2025-09-01,A,2.60,9.20,9.20,,,
KO,2025-09-01,AA,0.05,0.10,0.10,,0.10,
ORC,2025-09-01,CCC,6.70,6.70,6.70,,,
CHEF,2025-09-01,BBB,1.30,0.00,0.08,,0.00,
CUBI,2025-09-01,BB,0.00,0.00,8.30,,,
MTDR,2025-09-01,BB,1.80,0.10,0.10,,,
YELP,2025-09-01,AA,7.80,7.80,7.80,,,
PSX,2025-09-01,AA,5.40,5.90,4.90,,,
TGLS,2025-09-01,BB,3.20,4.70,4.70,,,
FIVE,2025-09-01,AA,1.50,1.50,0.07,,1.50,
LZ,2025-09-01,BB,6.70,6.70,6.70,,,
SUN,2025-09-01,A,3.20,4.10,4.10,,,
AMBA,2025-09-01,BB,3.80,4.50,4.50,,,
WDAY,2025-09-01,AAA,5.90,0.10,0.10,,,
STC,2025-09-01,A,0.08,0.08,0.08,,,
DKL,2025-09-01,BB,3.40,4.20,4.20,,,
RH,2025-09-01,BBB,2.20,2.40,6.80,,2.40,
PBF,2025-09-01,BBB,2.70,0.02,0.02,,,
CVI,2025-09-01,BB,1.80,1.90,1.90,,,
NCLH,2025-09-01,A,0.06,5.70,5.70,,,
BFAM,2025-09-01,AAA,5.80,5.80,5.80,,,
KHC,2025-09-01,AA,4.40,5.70,9.30,,5.70,
PRKS,2025-09-01,AA,4.50,5.80,5.80,,,
PINC,2025-09-01,AAA,0.10,0.10,0.10,,,
ESRT,2025-09-01,A,7.20,9.60,9.60,,,
SRE,2025-09-01,AA,6.70,8.10,8.10,,,
DELL,2025-09-01,A,5.40,0.10,0.10,,,
PAGP,2025-09-01,BBB,2.80,3.80,3.80,,,
RARE,2025-09-01,BB,4.60,7.50,7.50,,,
OKE,2025-09-01,AA,4.80,5.80,5.80,,,
FIVN,2025-09-01,AA,4.80,6.70,6.70,,,
MSA,2025-09-01,BBB,0.10,0.10,0.10,,,
HLI,2025-09-01,A,6.20,6.20,9.70,,,6.20
TRUP,2025-09-01,BB,3.70,3.70,8.70,,,3.70
VKTX,2025-09-01,BB,6.10,6.70,6.70,,,
SEDG,2025-09-01,A,6.30,0.10,0.10,,,
REG,2025-09-01,A,9.70,9.70,9.70,,,
PGRE,2025-09-01,BBB,7.60,9.70,9.70,,,
DAY,2025-09-01,AA,0.10,0.10,0.10,,,
CCI,2025-09-01,AAA,9.20,9.20,9.20,,,
THG,2025-09-01,BBB,3.30,5.70,8.70,,5.70,
UE,2025-09-01,BB,4.60,8.90,8.90,,,
ZG,2025-09-01,BB,0.10,0.10,0.10,,,
ETSY,2025-09-01,A,0.10,0.10,0.10,,,
COLL,2025-09-01,BBB,2.20,6.70,6.70,,,
WING,2025-09-01,BBB,1.70,7.40,7.40,,,
ENR,2025-09-01,A,2.50,0.10,0.10,,,
TLN,2025-09-01,CCC,1.30,2.60,2.60,,,
OLLI,2025-09-01,A,2.70,0.02,0.06,,0.02,
RPD,2025-09-01,BBB,0.10,0.10,0.10,,,
PLNT,2025-09-01,AA,4.50,5.90,5.90,,,
MSA,2025-09-01,B,7.40,7.90,7.90,,,
IBRX,2025-09-01,B,0.04,6.70,6.70,,,
SGRY,2025-09-01,BBB,5.20,5.20,5.20,,,
PJT,2025-09-01,BBB,8.70,8.70,8.70,,,
NGVT,2025-09-01,BBB,4.10,6.50,6.50,,,
FTV,2025-09-01,AA,0.05,0.10,0.10,,,
FRSH,2025-09-01,BBB,4.20,6.70,6.70,,,
ADNT,2025-09-01,BBB,2.70,0.10,0.10,,,
ELF,2025-09-01,BBB,3.90,9.50,0.10,,9.50,
IRTC,2025-09-01,BBB,8.70,8.70,8.70,,,
NEM,2025-09-01,AA,5.50,9.70,9.70,,,
TRMB,2025-09-01,AA,0.04,0.10,0.10,,,
BL,2025-09-01,AA,5.10,7.70,7.70,,,
HTO,2025-09-01,A,5.20,9.60,9.60,,,
VRRM,2025-09-01,BBB,8.40,8.40,8.40,,,
HG,2025-09-01,BBB,1.20,1.20,7.70,,,1.20
INVH,2025-09-01,BBB,3.40,6.30,6.30,,,
VERX,2025-09-01,BBB,4.80,0.08,0.08,,,
HLNE,2025-09-01,B,0.08,0.08,0.08,,,
KNTK,2025-09-01,A,0.05,5.70,5.70,,,
WTTR,2025-09-01,BB,5.40,4.80,4.80,,,
MGY,2025-09-01,B,0.70,0.00,0.00,,,
FE,2025-09-01,A,5.50,6.90,6.90,,,
FSUN,2025-09-01,BB,0.00,0.00,6.70,,,
JBGS,2025-09-01,A,6.60,9.50,9.50,,,
BKR,2025-09-01,AA,8.70,0.10,0.10,,,
ECVT,2025-09-01,BBB,4.40,6.60,6.60,,,
WHR,2025-09-01,BBB,6.20,8.70,8.70,,,
STEL,2025-09-01,BB,0.10,0.10,6.70,,,
AHCO,2025-09-01,A,0.07,0.07,0.07,,,
RCUS,2025-09-01,BB,6.10,6.70,6.70,,,
COGT,2025-09-01,BB,6.10,6.70,6.70,,,
EAT,2025-09-01,BB,0.03,0.10,0.10,,,
AVGO,2025-09-01,AA,5.20,0.10,0.10,,,
NVT,2025-09-01,A,3.60,0.10,0.10,,,
